,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc Number,,,,F-HR-11,,,
BCPL, Competency Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rev No,,,,01/01.04.2025,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eff. Date ,,,,01.04.2025,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,Minimum Education Level,Minimum Work Experience (Years),5S,Safety,Basics of Electronics,Basics of Quality,SMT Electronics Assembly,Manual Electronics Assembly,Mechanical Assembly,Testing - Electrical/ Electronic Parts,Testing - PCBA,Dimensional inspection (gauges),Dimensional inspection (instruments),Laser Printing,Wire Cutting-Stripping,Wire Crimping,Packing,Leadership & Team Management,Communication & Interpersonal Skill,Problem Solving & Critical Thinking,Planning & Time Management,"IATF 16949/ISO 9001:2015 QMS
Awareness",Material Planning & Inventory Control,Supply Chain Management,Data Analytics and Reporting,MS Excel,SPC,MSA,4M Change,FMEA,Abnormality Handling,PPAP & APQP,Kaizen,Poka Yoke,7 QC Tools,Compliance & Ethical Responsibility,Internal Auditor Certification*,FIFO,Rework on electronic parts,Sampling and inspection
Plant Head,Bachelor's (Engg./Mgmt),15,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,4,4,3,3,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
Management Representative,Bachelor's (Engg./Mgmt),6,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,2,2,3,-,3,-,-,3,3,-,4,-,-,-,-,-
Sales Executive,Bachelor's (Any),1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sr. Sales Executive,Bachelor's (Any),4,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Area Sales Manager,Bachelor's (Any),7,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,2,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Regional Sales Manager,Bachelor's (Any),9,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,3,4,3,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
National Sales Manager,Bachelor's (Any),12,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Accounts Manager,Bachelor's (Commerce),8,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-
Accounts Executive,Bachelor's (Commerce),2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-
Purchase Manager,Bachelor's (Any),8,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
Purchase Engineer,Diploma/ Bachelor's (Any),4,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Production Manager (Electronics),Diploma/ Bachelor's (Engg.),8,3,3,-,-,3,4,3,3,4,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,3,-,4,-,3,4,3,-,-,-,-,-
Production Manager (Mechanical),Diploma/ Bachelor's (Engg.),8,3,3,-,-,-,-,3,3,-,4,4,3,3,3,3,3,3,-,3,3,-,-,-,-,-,-,3,-,4,-,3,4,3,-,-,-,-,-
"Team Leader, Testing & Packing",ITI/Diploma,5,3,3,2,3,-,-,2,3,-,3,2,3,-,-,3,2,2,-,-,2,-,-,-,-,-,-,2,-,2,-,3,-,-,-,-,-,-,-
Production Operator (Electronics SMT),10th,2,2,2,2,2,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-
Production Operator (Manual Electronics Assy),10th,2,2,2,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-
Quality Manager,Bachelor's (Engg.),10,4,3,3,-,3,3,3,3,3,4,4,3,-,3,-,3,-,-,3,4,-,-,-,-,3,3,3,4,3,4,4,4,4,3,-,-,-,3
Asst Manager Quality,Diploma/Bachelor's (Engg),3,4,3,3,-,3,3,3,3,3,3,3,3,-,3,-,-,-,-,2,3,-,-,-,-,3,3,3,3,3,3,3,3,3,2,-,-,-,3
Quality Executive,Diploma/ Bachelor's (Engg.),2,3,2,2,2,-,-,-,2,2,2,2,-,-,2,2,-,-,-,-,2,-,-,-,-,-,-,2,-,2,-,2,2,-,-,-,-,-,2
Testing Operator (PCBA),12th/ ITI/ Diploma,3,2,2,3,2,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Testing Operator (Sunshade),10 th/12th,4,2,2,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Store Incharge,Bachelor's (Any),7,3,3,2,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,3,3,-,-,-,-,-,-,-,-,3,2,-,-,-,3,-,-
Store Executive,Bachelor's (Any),2,3,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-
NPD Manager (Mechanical),Diploma/Bachelor's (Engg),6,2,3,2,3,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,3,-,-,-,-,3,3,-,3,-,3,-,3,2,-,-,-,-,-
NPD Manager (Electronics),Diploma/Bachelor's (Engg),6,2,3,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,3,-,3,-,3,2,-,-,-,-,-
NPD Engineer (Mechanical),Diploma/Bachelor's (Engg),2,2,2,2,3,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,3,-,-,-,-,2,2,-,2,-,2,-,3,2,-,-,-,-,-
Internal Auditor,Bachelor's (Any),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-
Admin Manager,Bachelor's (Any),5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
HR Manager,Bachelor's (Any),7,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
MIS Executive,Bachelor's (Any),3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Packing Operator,10 th/12th,2,2,2,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-
Production Operator (Mechanical),10 th/12th,2,2,2,-,2,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-
